"Brinco","Tatuagem","Correspondente","Data de Nascimento","Data de Entrada","Raça","Status","Idade","Baia","Peso de entrada","AC","Ultimo cio","TSI","Mãe","Pai","DP","SC","CIO","QTD CIO",
"F4861","F4861","F4861","8/9/2023","12/26/2023","TLLZZ - TN70","","152","","","","","","","","","","Sem cio nova","0",
"9658","F3644","9417","5/29/2023","11/14/2023","TZZZZ - AVÓ","","224","","","","12/28/2023","111","","","A","AA","Regular","3",
"51902","F3610","59178","5/28/2023","10/31/2023","TLLZZ - TN70","","225","","","","12/31/2023","115","BMBD6034","PS01077243","C","CC","Regular","4",
"51906","F3621","59128","5/28/2023","10/31/2023","TLLZZ - TN70","","225","","","","1/5/2024","120","BMBE0896","BNTL1138","C","CC","Regular","4",
"52221","F3613","59100","5/28/2023","10/31/2023","TLLZZ - TN70","","225","","","","1/1/2024","118","BMBE3702","PS01077243","C","CC","Regular","3",
"50832","F3616","59124","5/28/2023","11/7/2023","TLLZZ - TN70","","225","","","","1/1/2024","118","BMBE3702","PS01077243","C","CC","Regular","2",
"50841","F3607","59141","5/28/2023","11/7/2023","TLLZZ - TN70","","225","","","","12/31/2023","115","BMBD6034","PS01077243","C","CC","Regular","3",
"50842","F3622","59065","5/28/2023","11/7/2023","TLLZZ - TN70","","225","","","","12/31/2023","120","BMBE0896","BNTL1138","C","CC","Regular","3",
"51033","F3618","59049","5/28/2023","11/7/2023","TLLZZ - TN70","","225","","","","12/25/2023","118","BMBE3702","PS01077243","C","CC","Regular","3",
"52200","F3614","59006","5/28/2023","11/14/2023","TLLZZ - TN70","","225","","","","12/20/2023","118","BMBE3702","PS01077243","C","CC","Regular","1",
"51873","F3577","59125","5/27/2023","10/31/2023","TLLZZ - TN70","","226","","","","12/20/2023","98","BMBE0970","BJ01023195","C","CC","Regular","3",
"51905","F3601","59150","5/27/2023","10/31/2023","TLLZZ - TN70","","226","","","","1/7/2024","118","BMBE0965","PS01077243","C","CC","Regular","4",
"51910","F3589","59120","5/27/2023","10/31/2023","TLLZZ - TN70","","226","","","","12/24/2023","113","BMBC8754","PS01077243","C","CC","Regular","3",
"51915","F3585","59112","5/27/2023","10/31/2023","TLLZZ - TN70","","226","","","","1/4/2024","113","BMBC8754","PS01077243","C","CC","Regular","4",
"51916","F3595","59122","5/27/2023","10/31/2023","TLLZZ - TN70","","226","","","","12/26/2023","98","BMBD5717","PS01077243","C","CC","Regular","3",
"51917","F3591","59107","5/27/2023","10/31/2023","TLLZZ - TN70","","226","","100.00","","1/1/2024","98","BMBD5717","PS01077243","C","CC","Regular","2",
"51923","F3579","59144","5/27/2023","10/31/2023","TLLZZ - TN70","","226","","","","1/1/2024","98","BMBE0970","BJ01023195","C","CC","Regular","4",
"51962","F3581","59193","5/27/2023","10/31/2023","TLLZZ - TN70","","226","","","","1/8/2024","98","BMBE0970","BJ01023195","C","CC","Regular","4",
"50827","F3588","59186","5/27/2023","11/7/2023","TLLZZ - TN70","","226","","","","12/28/2023","113","BMBC8754","PS01077243","C","CC","Regular","3",
"50836","F3603","59140","5/27/2023","11/7/2023","TLLZZ - TN70","","226","","","","12/27/2023","118","BMBE0965","PS01077243","C","CC","Regular","3",
"9649","F3640","9592","5/29/2023","11/14/2023","TZZZZ - AVÓ","","224","","","","12/31/2023","111","","","A","AA","Regular","3",
"9690","F3648","9586","5/29/2023","11/7/2023","TZZZZ - AVÓ","","224","","","","12/21/2023","111","","","A","AA","Regular","3",
"9683","F3646","9594","5/29/2023","11/7/2023","TZZZZ - AVÓ","","224","","","","1/2/2024","111","","","A","AA","Regular","3",
"9673","F3647","9695","5/29/2023","11/7/2023","TZZZZ - AVÓ","","224","","","","12/23/2023","111","","","A","AA","Regular","3",
"50850","F3684","59070","6/1/2023","11/7/2023","TLLZZ - TN70","","221","","","","1/3/2024","98","BMBE3541","GNHC1082","C","CC","Regular","3",
"51046","F3678","59066","6/1/2023","11/7/2023","TLLZZ - TN70","","221","","","","12/24/2023","98","BMBE3541","GNHC1082","C","CC","Regular","2",
